"Collection Name","Title#1","Subtitle#1","Uniform Title#1","Alternative Title#1","Alternative Title#1$2","Alternative Title#1$1","Alternative Title#1$3","Non Sort#1","Title Part Number#1","Name Part#1","Name Part Date#1","Name Role Term Text#1","Name Type#1","Name Authority#1","Name Part#2","Name Part Date#2","Name Role Term Text#2","Name Type#2","Name Authority#2","Name Part#3","Name Part Date#3","Name Role Term Text#3","Name Type#3","Name Authority#3","Name Part#4","Name Part Date#4","Name Role Term Text#4","Name Type#4","Name Authority#4","Name Part#5","Name Part Date#5","Name Part#6","Name Part#7","Name Part Date#7","Type of Resource#1","Place Term#1","Place Term#1$1","Place Term#1$2","Place Term#1$3","Place Term Type#1","Place Term Authority#1","Publisher#1","Publisher#1$1","Publisher#1$5","Publisher#1$4","Publisher#1$3","Publisher#1$2","Date Issued#1","Date Issued Encoding#1","Date Created#1","Date Created Encoding#1","Edition#1","Issuance#1","Place Term#2$1","Place Term#2$2","Place Term#2","Place Term Type#2","Place Term Authority#2","Publisher#2","Publisher#2$2","Publisher#2$1","Date Issued#2","Date Issued Encoding#2","Date Created#2","Date Created Encoding#2","Edition#2","Issuance#2","Language Term#1","Language Term Code#1","Language Term Code Authority#1","Form#1","Form Authority#1","Internet Media Type#1","Extent#1","Digital Origin#1","Abstract#1","Table of Contents#1","Note#1$6","Note#1$7","Note#1$4","Note#1$5","Note#1$2","Note#1$3","Note#1$1","Note#1","Note Type#1","Note#2","Note#2$9","Note#2$7","Note#2$8","Note#2$5","Note#2$6","Note#2$3","Note#2$4","Note#2$1","Note#2$2","Note Type#2","Note#3","Note#3$6","Note#3$4","Note#3$5","Note#3$2","Note#3$3","Note#3$1","Note Type#3","Note#4$3","Note#4$4","Note#4$1","Note#4$2","Note#4","Note Type#4","Note#5","Note Type#5","Note#6","Note#7","Note#8","Subject Topic#1","Subject Authority#1","Subject Geographic#1","Subject Geographic Authority#1","Subject Temporal#1","Subject Name#1$1","Subject Name#1$2","Subject Name#1$3","Subject Name#1","Subject Geographic Code#1","Subject Geographic Code Authority#1","Subject Topic#2","Subject Authority#2","Subject Geographic#2","Subject Geographic Authority#2","Subject Temporal#2","Subject Temporal Authority#2","Subject Name#2","Subject Geographic Code#2","Subject Geographic Code Authority#2","Subject Topic#3","Subject Authority#3","Subject Geographic#3","Subject Name#3","Subject Topic#4","Subject Authority#4","Subject Geographic#4","Subject Topic#5","Subject Authority#5","Classification#1","Classification Authority#1","Related Item#1","Related Item Type#1","Related Item Identifier#1","Related Item Identifier URI#1","Identifier#1","Physical Location#1","Physical Location Type#1","Access Condition#1","Scanning technician#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Women Poets of the Romantic Period","Louisa","a poetical novel, in four epistles","","","","","","","","Seward, Anna","1742-1809","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","New-Haven","","","","text","","Printed and sold by Abel Morse,","","","","","","1789","marc","","","The 5th ed","Monograph/item","","","","","","","","","","","","","","","English","eng","iso639-2b","electronic","marcform","tiff","[8], 80, [4] p. 19 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/321.htm","","","","","","","","By Miss Seward","Statement of responsibility","Rare Books Room [c.1]","","","","","","","","","","local","","","","","Evans, 22137","Publisher's advertisement; [1] p. at end","""Few happy matches"": [3] p. at end","","","","","","","","","","","","","","","France","lcsh","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 321","local","","","","","b13281896","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","474523","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~474523~"
"Women Poets of the Romantic Period","Louisa, a poetical novel","in four epistles","","","","","","","","Seward, Anna","1742-1809","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","enk","","","","code","marccountry","","","","","","","","","","","","","","","Lichfield","text","","Printed and sold by J. Jackson, and G. Robinson,","","","1784","marc","1784","marc","","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","vi, 95 p. 26 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/322.htm","","","","","","","","by Miss Seward","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 322","local","","","","","b17188453","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","474675","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~474675~"
"Women Poets of the Romantic Period","Lyric and other poems","","","","","","","","","Temple, Laura Sophia","","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","enk","","","","code","marccountry","","","","","","","","","","","","","","","London,","text","","Longman,","","","1808","marc","1808","marc","","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","145 p","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/076.htm","","","","","","","","","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 76","local","","","","","b36317895","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","479195","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~479195~"
"Women Poets of the Romantic Period","Lyrical tales","","","","","","","","","Robinson, Mary","1758-1800","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","London","","","","text","","Printed for T.N. Longman and O. Rees by Biggs and Co., Bristol,","","","","","","1800","marc","1800","marc","","Monograph/item","","","enk","code","marccountry","","","","","","","","","","English","eng","iso639-2b","electronic","marcform","tiff","[4], 218, [2] p. ; 17 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/068.htm","","","","","","","","by Mrs. Mary Robinson","Statement of responsibility","","","","","","","","","Publisher's advertisements: p. [1]-[2] at end","Signatures: *² A-N⁸ O⁴ P²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 68","local","","","","","b36236135","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","479050","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~479050~"
"Women Poets of the Romantic Period","Manual, consisting of a defence of the Bible, in an original manner, with an appendix, in prose and verse, on many interesting subjects","","","","","","","","","Lloyd, Mary Ann","","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","London","","","","text","","Cross Keys,","","","","","","1820","marc","","","","Monograph/item","","","","","","","","","","","","","","","","","","electronic","marcform","tiff","","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/156.htm","","","","","","","","","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","lcsh","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 156","local","","","","","b27475347","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","475449","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~475449~"
"Women Poets of the Romantic Period","Marchmont","a novel","","","","","","","","Smith, Charlotte","1749-1806","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","London","","","","text","","S. Low","","","","","","1796","marc","1796","marc","","Monograph/item","","","enk","code","marccountry","","","","","","","","","","English","eng","iso639-2b","electronic","marcform","tiff","4 v. : 17 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/320.htm","","","","","","","","by Charlotte Smith","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Roman anglais","lcsh","","","","","","","","","","","","","","18e siècle","","","","","","","","","","","","","","WPRP 320","local","","","","","b36224418","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","478744","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~478744~"
"Women Poets of the Romantic Period","Margaret of Anjou","a poem : in ten cantos","","","","","","","","Holford, Miss (Margaret)","1778-1852","","personal","naf","Murray, John","1778-1843","","personal","naf","","","","","","","","","","","","","","","","Language material","London","","","","text","","Printed for John Murray","","","","","","1816","marc","1816","marc","","Monograph/item","","","enk","code","marccountry","","","","","","","","","","English","eng","iso639-2b","electronic","marcform","tiff","[6], 474, [2] p. ; 28 cm. (4to)","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/038.htm","","","","","","","","by Miss Holford","Statement of responsibility","","","","","","","Verso of dedication leaf (p. [6] at front) blank","","Advertisements dated April, 1815: [2] p. at end","On verso of half-title: London: Printed by C. Roworth","","Special Collections copy, bound in 1/2 black calf with gold tooling on covers and spine and with marbled paper boards and edges","","","","","","","local","","","","","Special Collections copy, wanting half-title p. and [2] p. of advertisements at end","local","Special Collections copy, signed on t.p.: Croydon's Library, Nov. 4th, 1817","local","","","","","","","","","","","","Margaret of Anjou, Queen, consort of Henry VI, King of England","","","","","","","","","","","","","","","","","","","","","WPRP 38","local","","","","","b36964669","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","480141","","http://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-65-NA/1603/b36964669_0007.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~480141~130450"
"Women Poets of the Romantic Period","Martin Luther","a poem","","","","","","","","Cursham, Mary Anne","","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","enk","","","","code","marccountry","","","","","","","","","","","","","","","London,","text","","Longman,","","","1825","marc","1825","marc","","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","82 p","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/157.htm","","","","","","","","","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 157","local","","","","","b27544527","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","475463","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~475463~"
"Women Poets of the Romantic Period","Melaia","and other poems","","","","","","","","Cook, Eliza","1818-1889","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","London","","","","text","","Simpkin, Marshall,","","","","","","1845","marc","1845","marc","3rd ed","Monograph/item","","","enk","code","marccountry","","","","","","","","","","English","eng","iso639-2b","electronic","marcform","tiff","xi, 276 p., [12] leaves of plates : ill. ; 21 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/089.htm","","","","","","","","by Eliza Cook","Statement of responsibility","Special Collections copy in original cloth with gilt spine lettering ""Poems by Eiliza Cook Illustrated"" with embossed decoration on the covers and previous owner's bookplate inside","","","","","","","","","","local","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 89","local","","","","","b26816131","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","474806","","http://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-65-NA/1828/0013.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~474806~136694"
"Women Poets of the Romantic Period","Memoir and correspondence of Mrs Grant of Laggan","","","","","","","","","Grant, Anne MacVicar","1755-1838","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","enk","","","","code","marccountry","","","","","","","","","","","","","","","London,","text","","Longmans,","","","1845","marc","1845","marc","2nd ed","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","3 v","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/208.htm","","","","","","","","","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","United States--Albany (N.Y.)","lcsh","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 208","local","","","","","b28985758","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","476229","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~476229~"
"Women Poets of the Romantic Period","Memoir of John Aikin, M.D.","","","","","","","","","Aikin, Lucy","1781-1864","","personal","naf","Aikin, John","1747-1822","","personal","naf","Thompson, Dorothy Jay","","","","","Thompson, Paul V.","","","","","","","","","","Language material","London","","","","text","","Baldwin, Cradock, and Joy,","","","","","","1823","marc","1823","marc","","Monograph/item","","","enk","code","marccountry","","","","","","","","","","English","eng","iso639-2b","electronic","marcform","tiff","2 v. front. (port.); 22 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/231.htm","","","","","","","","by Lucy Aikin ; with a selection of his miscellaneous pieces, biographical, moral, and critical","Statement of responsibility","""List of Dr. Aikin's principal works"" -- v. 1, p. viii-x","","","","","","","","","","Bibliography","Special Collections copy, bookplate of Dorothy and Paul Thompson","","","","","","","local","","","All edges marbled","Bound in full calf","","","","","","","","English poetry--History and criticism","lcsh","","","","","","","","","","","","","","","","Aikin, John","","","","","","","","","","","","WPRP 231","local","","","","","b27687387","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","475585","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~475585~"
"Women Poets of the Romantic Period","Memoirs and poetical remains of the late Jane Taylor","with extracts from her correspondence","","","","","","","","Taylor, Jane","1783-1824","","personal","naf","Taylor, Isaac","1829-1901","","personal","naf","","","","","","","","","","","","","","","","Language material","London","","","","text","","B.J. Holdsworth,","","","","","","1826","marc","1826","marc","2nd ed","Monograph/item","","","enk","code","marccountry","","","","","","","","","","English","eng","iso639-2b","electronic","marcform","tiff","2 v. : port. ; 20 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/184.htm","","","","","","","","by Isaac Taylor","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Taylor, Jane","","","","","","","","","","","","","","","","","","","","","WPRP 184","local","","","","","b28151616","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","475952","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~475952~"
"Women Poets of the Romantic Period","Memoirs and poetical remains of the late Jane Taylor","with extracts from her correspondence","","Pious meditations in verse","","","","","","Taylor, Isaac","1787-1865","","personal","naf","Taylor, Ann","1783-1824","","personal","naf","","","","","","","","","","","","","","","","Language material","mau","","","","code","marccountry","","","","","","","","","","","","","Boston","Newburyport","","text","","","s.n. Tenney [etc.]","Crocker & Brewster","1826","marc","1826","marc","","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","[iii]-viii, [25]-316 p. ; 18 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/388.htm","","","","","","","","by Isaac Taylor","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 388","local","","","","","b39286496","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","480745","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~480745~"
"Women Poets of the Romantic Period","Memoirs of an American lady","with sketches of manners and scenery in America, as they existed previous to the revolution","","","","","","","","Grant, Anne MacVicar","1755-1838","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","enk","","","","code","marccountry","","","","","","","","","","","","","","","London,","text","","Printed for Longman, Hurst, Rees and Orme [etc.]","","","1808","marc","1808","marc","","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","2 v. 18 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/207.htm","","","","","","","","By the author of ""Letters from the mountains,"" &c. &c. v. 1-2","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Indians of North America","lcsh","","","","","","","","","","","","","","","","Schuyler, Catalina Schuyler","n-us---","marcgac","","","","","","","","","","WPRP 207","local","","","","","b28985746","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","476212","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~476212~"
"Women Poets of the Romantic Period","Memoirs of Mary Robinson","""Perdita,""","","Baillie's dramas","","","","","","Robinson, Mary,","1758-1800.","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","London","","","","text","","s.n.,","","","","","","1882","marc","","","","Monograph/item","","","","","","","","","","","","","","","","","","electronic","marcform","tiff","","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/228.htm","","","","","","","","from the edition edited by her daughter, with introduction and notes by J. Fitzgerald Molloy.","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 228","local","","","","","b30777781","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","476504","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~476504~"
"Women Poets of the Romantic Period","Memoirs of the court of King James the First","","","","","","","","","Aikin, Lucy","1781-1864","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","London","","","","text","","Longman, Hurst, Rees, Orme, Brown, and Green,","","","","","","1822","marc","1822","marc","2d ed","Monograph/item","","","enk","code","marccountry","","","","","","","","","","English","eng","iso639-2b","electronic","marcform","tiff","2 v. : fronts. (ports.) 23 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/085.htm","","","","","","","","by Lucy Aikin","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","James","","","","","","","","","","","","","","","","","","","","","WPRP 85","local","","","","","b26536705","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","474724","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~474724~"
"Women Poets of the Romantic Period","Memoirs of the life of Mrs. Elizabeth Carter","with a new edition of her poems, including some which have never appeared before; to which are added, some miscellaneous essays in prose, together with her notes on the Bible, and answers to objections concerning the Christian religion","","Letters from Mrs. Carter to Mrs. Vesey","","","","","","Carter, Elizabeth","1717-1806","","personal","naf","Pennington, Montagu","1762-1849","","personal","naf","","","","","","","","","","","","","","","","Language material","London","","","","text","","Printed for F.C. and J. Rivington,","","","","","","1808","marc","1808","marc","2nd ed","Monograph/item","","","enk","code","marccountry","","","","","","","","","","English","eng","iso639-2b","electronic","marcform","tiff","2 v., [1] leaf of plates : ill., front. (port.) ; 22 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/124.htm","","","","","","","","by Montagu Pennington","Statement of responsibility","","","","","","","","","Errata (for both volumes): v. 1, following the Preface","Portrait of Elizabeth Carter ""engraved by Mackenzie.""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Carter, Elizabeth","","","","","","","","","","","","","","","","","","","","","WPRP 124","local","","","","","b36321746","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","479369","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~479369~"
"Women Poets of the Romantic Period","Memoirs of the literary ladies of England, from the commencement of the last century by Mrs. Elwood. Extra - illustrated","","","","Bas bleu, or, Conversation","Bas bleu","Conversation","","","Elwood, Anne Katharine Curteis","","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","London,","","","","text","","H. Colburn,","","","","","","1843","marc","","","","Monograph/item","","","","","","","","","","","","","","","","","","electronic","marcform","tiff","","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/416.htm","","","","","","","","4 vols. with an additional 160 portraits and views","","","","","","","","","","","","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 416","local","","","","","b37113069","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","480459","","http://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-65-NA/1591/b37113069v2p2_0009.jpg|http://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-65-NA/1591/b37113069v2p1_0009.jpg|http://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-65-NA/1591/b37113069v1p2_0009.jpg|http://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-65-NA/1591/b37113069v1p1_0009.jpg",""
"Women Poets of the Romantic Period","Metrical Lessons and Fragments, in remembrance of days that are gone","","","","","","","","","Waiblinger, Catherine","","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","enk","","","","code","marccountry","","","","","","","","","","","","","","","London,","text","","","","","1823","marc","1823","marc","","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","","reformatted digital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b65932420","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","483328","","http://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-65-NA/1604/b65932420_0007.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~483328~130455"
"Women Poets of the Romantic Period","Miscellaneous pieces in prose","","","Epistle to William Wilberforce, Esq., on the rejection of the bill for abolishing the slave trade","","","","","","Barbauld, Mrs. (Anna Letitia)","1743-1825","","personal","naf","Aikin, John,","1747-1822","","personal","naf","","","","","","","","","","","","","","","","Language material","London","","","","text","","Printed for J. Johnson,","","","","","","1792","marc","1792","marc","3rd ed","Monograph/item","","","enk","code","marccountry","","","","","","","","","","English","eng","iso639-2b","electronic","marcform","tiff","266 p. ; 20 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/122-a.htm","","","","","","","","by John Aikin and Anna LÃ¦titia Barbauld","Statement of responsibility","Octavo. Signatures: [A]Â² B-Râ�¸ Sâ�¶","","","","","","","","","","","With: Barbauld, Anna Laetitia Aikin. Poems. New ed., corr. London : J. Johnson, 1792","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 122a","local","","","","","b36359191","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","479405","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~479405~"
